Species,Type,Identifier,Title
"Cedrus atlantica",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Cedrus atlantica",PMID,"17234222","C-methylated and C-prenylated isoflavonoids from root extract of Desmodium uncinatum."
"Cedrus atlantica",PMID,"15381415","Oxygenated diterpenes and other constituents from Moroccan Juniperus phoenicea and Juniperus thurifera var. africana."
"Cedrus atlantica",DOI,"10.1016/j.phytochem.2004.10.017","Abietane diterpenes from the cones of"
"Cedrus atlantica",DOI,"10.1016/j.phytochem.2004.07.021","Oxygenated diterpenes and other constituents from Moroccan Juniperus phoenicea and Juniperus thurifera var. africana"
"Cedrus atlantica",DOI,"10.1016/j.tet.2017.04.015","Cytotoxic labdane diterpenes and bisflavonoid atropisomers from leaves of Araucaria bidwillii"
"Juniperus species",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Juniperus species",PMID,"15649517","Abietane diterpenes from the cones of Cedrus atlantica."
"Juniperus species",DOI,"10.1016/j.phytochem.2004.10.017","Abietane diterpenes from the cones of"
"Croton megalocarpoides",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Croton megalocarpoides",PMID,"14561074","Effect of rotenoids from the seeds of Millettia dura on larvae of Aedes aegypti."
"Croton megalocarpoides",PMID,"15649517","Abietane diterpenes from the cones of Cedrus atlantica."
"Croton megalocarpoides",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Croton megalocarpoides",PMID,"38458316","Comments on: "Comparative study of a Y-anatomical and innovative locking plate versus double plate for supracondylar humeral fracture" by H. Barret, R. Ceccarelli, P. Vial d'Allais, M. Winter, M. Chammas, B. Coulet, C. Lazerges published in Orthop Traumatol Surg Res 2023;109:103380. doi:10.1016/j.otsr.2022.103380."
"Croton megalocarpoides",PMID,"18067107","Joziknipholones A and B: the first dimeric phenylanthraquinones, from the roots of Bulbine frutescens."
"Croton megalocarpoides",PMID,"2236290","Antimalarial compounds containing an alpha,beta-unsaturated carbonyl moiety from Tanzanian medicinal plants."
"Croton megalocarpoides",PMID,"18267321","An azole, an amide and a limonoid from Vepris uguenensis (Rutaceae)."
